iter	Logloss
0	0.6859663952
1	0.6792525721
2	0.6724589442
3	0.6660977786
4	0.6601174293
5	0.6538261715
6	0.6475184191
7	0.6415288206
8	0.6356200847
9	0.6299512484
10	0.6242022373
11	0.6193213811
12	0.6138720523
13	0.6089706211
14	0.6039591314
15	0.5989818779
16	0.5943222917
17	0.5896858374
18	0.5854743184
19	0.5809329782
20	0.576980974
21	0.5727068262
22	0.5686955482
23	0.5648735342
24	0.5610432244
25	0.5573031623
26	0.5535827783
27	0.5499652863
28	0.5467707986
29	0.5436668407
30	0.5406352959
31	0.5374327501
32	0.5347427531
33	0.531694358
34	0.5288235909
35	0.5256815392
36	0.5226646233
37	0.5198834982
38	0.5174992278
39	0.5149912919
40	0.5126232236
41	0.510116648
42	0.5078982672
43	0.5055489639
44	0.5033004121
45	0.5009903662
46	0.4989281837
47	0.4968583521
48	0.4947701242
49	0.4929984734
50	0.491230293
51	0.4893447985
52	0.4875321637
53	0.4856936842
54	0.4839498235
55	0.4823193165
56	0.4805309746
57	0.4789574645
58	0.4774714669
59	0.4760877376
60	0.4744830053
61	0.4730660426
62	0.4716057149
63	0.4700002276
64	0.4686265614
65	0.4673337795
66	0.4660933617
67	0.4647925761
68	0.4635798411
69	0.4622675295
70	0.4611090638
71	0.4598798803
72	0.4586407948
73	0.4575493917
74	0.4567068159
75	0.4556404004
76	0.4546182831
77	0.4535269421
78	0.4525128663
79	0.4514979584
80	0.4505534411
81	0.4496599856
82	0.4487255938
83	0.4478439231
84	0.4468812106
85	0.4460967124
86	0.445079831
87	0.444205072
88	0.4434958754
89	0.4426595784
90	0.4419397866
91	0.4411205627
92	0.4402398566
93	0.4395798225
94	0.438965312
95	0.4383280288
96	0.4375877314
97	0.4368803966
98	0.4362126222
99	0.4355352952
100	0.434891219
101	0.4342632049
102	0.4335847942
103	0.4329732743
104	0.4324772071
105	0.4318692433
106	0.4313546559
107	0.4307064123
108	0.430249759
109	0.4296720119
110	0.4290906258
111	0.4284729891
112	0.4279997586
113	0.4274923274
114	0.4270151913
115	0.4264968564
116	0.4260841279
117	0.4255691557
118	0.425057101
119	0.424538075
120	0.4240370343
121	0.4235340341
122	0.423034358
123	0.4225997529
124	0.4221568275
125	0.4217598802
126	0.4212647462
127	0.4208279858
128	0.4203973876
129	0.4201421562
130	0.4197664703
131	0.4193706947
132	0.4189554632
133	0.4185394219
134	0.4181857182
135	0.417816647
136	0.4174870719
137	0.4171312739
138	0.4167066761
139	0.416474832
140	0.4161239957
141	0.4158090829
142	0.4154848373
143	0.4150747815
144	0.4147175269
145	0.4143983662
146	0.4140610007
147	0.4138018603
148	0.4134781226
149	0.413138918
150	0.4127793707
151	0.4125146355
152	0.4121617478
153	0.4118560922
154	0.4115632008
155	0.4112282063
156	0.4109745287
157	0.4107151884
158	0.4104687843
159	0.4102047172
160	0.4099871496
161	0.4097598524
162	0.4094477788
163	0.4092203813
164	0.408981278
165	0.4086929557
166	0.4084616245
167	0.4082406024
168	0.4079930659
169	0.4077602219
170	0.4074203351
171	0.4071787316
172	0.4069505508
173	0.4067324116
174	0.4064918408
175	0.4063309055
176	0.4060871632
177	0.4058342746
178	0.40569119
179	0.4055002821
180	0.405267123
181	0.4050611262
182	0.4049029417
183	0.4047148278
184	0.404542912
185	0.4041869218
186	0.4039848872
187	0.4037994439
188	0.4035857668
189	0.4034913456
190	0.4032842704
191	0.4030777167
192	0.4028942949
193	0.4026919325
194	0.4024757877
195	0.4022786199
196	0.4020725652
197	0.4018080491
198	0.401608486
199	0.4014289213
