iter	Passed	Remaining
0	61	12239
1	64	6384
2	67	4426
3	70	3456
4	72	2828
5	74	2414
6	77	2145
7	80	1936
8	83	1773
9	86	1648
10	90	1548
11	92	1453
12	96	1386
13	99	1323
14	102	1270
15	106	1223
16	109	1177
17	112	1137
18	115	1101
19	119	1072
20	121	1037
21	124	1008
22	128	985
23	130	959
24	133	936
25	136	915
26	139	894
27	142	878
28	145	860
29	148	842
30	151	827
31	154	813
32	157	799
33	160	786
34	163	772
35	166	759
36	169	748
37	172	736
38	176	727
39	179	717
40	182	706
41	185	698
42	188	688
43	192	681
44	195	671
45	198	662
46	201	654
47	204	647
48	207	640
49	210	632
50	213	623
51	216	617
52	220	610
53	223	603
54	226	596
55	229	590
56	233	585
57	237	580
58	240	575
59	244	569
60	247	564
61	251	559
62	254	553
63	257	548
64	261	542
65	264	537
66	267	530
67	270	524
68	273	519
69	276	513
70	279	508
71	283	503
72	286	497
73	289	492
74	292	487
75	295	482
76	299	478
77	303	474
78	306	469
79	309	464
80	313	460
81	316	455
82	321	453
83	324	448
84	327	443
85	331	439
86	334	435
87	338	430
88	341	425
89	344	421
90	348	416
91	351	412
92	354	407
93	357	403
94	361	399
95	364	394
96	367	390
97	370	386
98	374	381
99	377	377
100	380	372
101	383	368
102	386	364
103	390	360
104	393	356
105	396	351
106	399	347
107	402	343
108	404	338
109	407	333
110	411	329
111	414	325
112	418	321
113	421	318
114	425	314
115	428	310
116	431	306
117	434	301
118	437	297
119	441	294
120	445	290
121	448	286
122	453	283
123	457	280
124	462	277
125	465	273
126	468	269
127	472	265
128	475	261
129	478	257
130	482	253
131	485	250
132	488	246
133	492	242
134	495	238
135	499	234
136	502	230
137	505	227
138	508	223
139	510	218
140	515	215
141	517	211
142	521	207
143	524	203
144	527	200
145	530	196
146	534	192
147	537	188
148	540	185
149	544	181
150	547	177
151	550	173
152	553	170
153	557	166
154	560	162
155	563	158
156	566	155
157	569	151
158	573	147
159	576	144
160	579	140
161	583	136
162	586	133
163	589	129
164	592	125
165	596	122
166	599	118
167	602	114
168	605	111
169	609	107
170	612	103
171	615	100
172	618	96
173	622	93
174	626	89
175	629	85
176	631	82
177	634	78
178	636	74
179	639	71
180	642	67
181	646	63
182	650	60
183	653	56
184	656	53
185	659	49
186	662	46
187	665	42
188	668	38
189	670	35
190	673	31
191	677	28
192	680	24
193	683	21
194	687	17
195	691	14
196	694	10
197	697	7
198	700	3
199	704	0
